id,role,label,members,conditional_completion,provenance_marking,reliability_aware_fusion,multigranular_decision_fusion,reduced_view_consistency_training,sparse_moe,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_auroc,macro_auprc,delta_macro_f1_points_vs_full_rerun
historical_main,unchanged_main_reference,Historical TRACE--CGHC main result,12,true,true,true,true,true,true,0.6729559748427673,0.6789916680727912,0.6681507291263390,0.6670787709674042,0.8306366242094776,0.7238623611991946,
full_rerun,same_campaign_full_reference,Full TRACE--CGHC rerun,12,true,true,true,true,true,true,0.6729559748427673,0.6793051699365454,0.6733060249189281,0.6710081571006707,0.8274600834494223,0.7175492806501276,0.0000000000000000
no_completion,single_component_ablation,Without conditional token reconstruction,12,false,true,true,true,true,true,0.6635220125786163,0.6638016878607987,0.6590244479329946,0.6612200359492450,0.8168119240134443,0.6983512891955462,-1.4281576985933464
no_provenance,single_component_ablation,Without observed/generated provenance,12,true,false,true,true,true,true,0.6792452830188679,0.6840524382199997,0.6704032481446797,0.6687240303959033,0.8222772115745195,0.7087327618253355,-0.2902776774248439
uniform_branch_weights,diagnostic_negative_control,Uniform rather than reliability-aware fusion,12,true,true,false,true,true,true,0.6823899371069182,0.6902326752670359,0.6808910359634998,0.6806023962162874,0.8293172547049528,0.7183477986600448,0.7585011044571655
joint_branch_only,single_stage_ablation,Joint prediction branch only,12,true,true,false,false,true,true,0.6477987421383647,0.6483426265384281,0.6416420197412963,0.6434884044592389,0.8250233409811373,0.7086365434928786,-3.1664005177631793
no_reduced_view_training,diagnostic_negative_control,Without reduced-view consistency training,12,true,true,true,true,false,true,0.6855345911949685,0.6911610370552173,0.6789729513352776,0.6783682973119655,0.8306930722173100,0.7256053559057324,0.5666926416349471
transformer_concat,architecture_baseline,Plain Transformer token concatenation,6,false,false,false,false,false,false,0.6603773584905660,0.6522516528355141,0.6545765143959298,0.6600208715298903,0.8157120406941306,0.6972444058446600,-1.8729510522998316
